neighborhood,neighborhood_description,niche_grade,population,median_home_value,median_rent,median_household_income,public_school_grade,crime_grade,housing_grade,nightlife_grade,good_for_families_grade,diversity_grade,jobs_grade,weather_grade,cost_of_living_grade,health_grade,outdoor_activities_grade,commute_grade
Dallas,City in Texas,A-,"1,318,806","$169,400",$987,"$50,100",B-,C,B-,A,B+,A+,B,B+,B,B-,B+,B+
Fort Worth,City in Texas,A-,"855,786","$154,300","$1,015","$59,255",C+,C,B-,B+,B+,A+,B+,B+,B+,C+,B-,B
Arlington,City in Texas,A-,"392,462","$157,600",$997,"$58,502",B,C,B,B+,A-,A+,B+,B+,B+,B-,B,B-
Plano,City in Texas,A+,"284,579","$291,300","$1,330","$92,121",A+,B-,A-,A,A+,A+,A+,B+,B,A,B-,B
Irving,City in Texas,A,"238,637","$165,000","$1,086","$61,937",B+,C+,B,A,A,A+,A-,B+,B+,B-,B,B+
Garland,"Suburb of Dallas, TX",A-,"237,982","$146,200","$1,078","$58,999",B+,C,B,B+,A-,A+,B,B+,B+,C+,B,B
Grand Prairie,"Suburb of Dallas, TX",A-,"191,104","$151,300","$1,058","$65,249",B,C+,B,B,B+,A+,B+,B+,B+,C,B,B-
McKinney,"Suburb of Dallas, TX",A+,"173,460","$281,300","$1,272","$89,964",A+,B-,B+,B,A+,A,A,B+,B,B,B-,B-
Frisco,"Suburb of Dallas, TX",A+,"165,700","$368,000","$1,441","$127,133",A+,B-,A,B,A+,A,A+,B+,B,B+,B-,B-
Mesquite,"Suburb of Dallas, TX",B+,"144,250","$129,100","$1,065","$56,074",B,C,B-,B,B,A+,B,B+,B+,C,B,C+
Denton,City in Texas,A,"133,661","$196,900","$1,046","$56,489",A-,C+,B,A,A-,A,A-,B+,B,B-,C+,B+
Carrollton,"Suburb of Dallas, TX",A+,"133,438","$217,700","$1,175","$75,820",A,C+,B+,A,A,A+,A-,B+,B,B+,C+,B+
Richardson,City in Texas,A+,"114,402","$250,100","$1,336","$80,953",A,C+,A-,A,A+,A+,A,B+,B,A,B,B+
Lewisville,"Suburb of Dallas, TX",A,"104,789","$190,300","$1,165","$63,056",A,C+,B+,A-,A,A+,A-,B+,B,B,B-,B
Allen,"Suburb of Dallas, TX",A+,"99,255","$286,300","$1,456","$106,736",A+,B-,A-,B-,A+,A,A+,B+,B,A-,B-,B-
Flower Mound,"Suburb of Dallas, TX",A+,"73,252","$342,200","$1,660","$134,184",A+,B,A,B,A+,B+,A+,B+,B,A-,B-,B-
North Richland Hills,"Suburb of Fort Worth, TX",A,"69,800","$186,500","$1,118","$68,146",A,C+,B+,B,A,A,B+,B+,B+,A-,B-,B-
Mansfield,"Suburb of Fort Worth, TX",A,"67,492","$235,300","$1,384","$96,253",A,B-,B+,B-,A,A,A-,B+,B,B,B,C+
Rowlett,"Suburb of Dallas, TX",A,"62,127","$205,100","$1,623","$96,286",B+,C+,A-,B-,A-,A,A-,B+,B,B,B,B-
Euless,"Suburb of Dallas, TX",A,"55,047","$176,200","$1,114","$63,327",A,C+,B+,A-,A,A+,A-,B+,B+,B+,C+,B
DeSoto,"Suburb of Dallas, TX",B,"53,030","$163,500","$1,114","$68,954",C-,C+,C+,C+,B-,A,B+,B+,B+,B,B-,B-
Grapevine,"Suburb of Dallas, TX",A+,"52,486","$294,600","$1,278","$85,722",A+,B-,B+,A-,A,A,A-,B+,B,A-,C+,B-
Bedford,"Suburb of Fort Worth, TX",A,"49,306","$198,300","$1,066","$66,636",A,C+,B+,B,A,A,A-,B+,B+,B+,C+,B
Wylie,"Suburb of Dallas, TX",A,"49,248","$201,000","$1,436","$93,637",A-,B,A,B-,A,A,A,B+,B,B+,B,C+
Cedar Hill,"Suburb of Dallas, TX",B+,"48,704","$154,600","$1,297","$70,327",C+,C+,B-,B-,B+,A,B+,B+,B,B,B,B-
Keller,"Suburb of Fort Worth, TX",A+,"46,175","$355,300","$1,332","$133,266",A+,B,A-,B,A+,B,A,B+,B,B,B-,C+
Burleson,"Suburb of Fort Worth, TX",A-,"44,629","$167,100","$1,229","$77,342",B+,C+,A-,B-,A-,B+,A-,B+,B+,B,C+,C+
Haltom City,"Suburb of Fort Worth, TX",B+,"44,275","$101,100",$976,"$50,448",B-,B-,B,B+,B,A+,B+,B+,A-,B+,C+,B
Rockwall,"Suburb of Dallas, TX",A,"43,157","$245,300","$1,311","$92,269",A,B-,A-,B,A,A-,A,B+,B,B+,B,C+
Little Elm,"Suburb of Dallas, TX",A,"42,889","$233,700","$1,599","$95,377",A-,B-,A-,B+,A,A,A,B+,B,A-,C+,C
The Colony,"Suburb of Dallas, TX",A,"42,215","$200,300","$1,391","$83,094",A,B-,A-,A,A,A,A,B+,B,A,B-,B-
Coppell,"Suburb of Dallas, TX",A+,"41,512","$368,800","$1,349","$123,802",A+,B-,A,A-,A+,A,A+,B+,B,B+,C+,B
Duncanville,"Suburb of Dallas, TX",B,"39,630","$135,400","$1,095","$55,224",C,C,C+,B-,B,A+,B,B+,B+,B+,B,B-
Lancaster,"Suburb of Dallas, TX",B,"39,162","$121,600","$1,027","$53,311",C,C,B-,C+,B-,A,B,B+,B+,B-,B,B-
Hurst,"Suburb of Fort Worth, TX",A,"38,986","$166,700","$1,037","$61,509",A,C+,B+,B,A,A,B+,B+,B+,A-,C+,B
Farmers Branch,"Suburb of Dallas, TX",A,"35,552","$175,300","$1,329","$71,032",B-,C+,B,A,A-,A+,A-,B+,B,A-,B,B+
Waxahachie,"Suburb of Dallas, TX",A,"34,285","$155,700","$1,063","$62,986",A-,C+,B+,B,A-,A,A-,B+,B+,B-,B,B
Southlake,"Suburb of Fort Worth, TX",A+,"30,840","$656,100","$1,445","$230,700",A+,B-,A,B,A+,B-,A+,B+,B,A-,C+,B-
Cleburne,Town in Texas,B+,"29,878","$103,900",$898,"$50,253",B-,C+,B,B,B,A,B+,B+,A-,B,B,B-
Colleyville,"Suburb of Fort Worth, TX",A+,"26,037","$488,900","$1,865","$175,369",A+,B+,A,B,A+,C+,A,B+,B+,A,C+,B-
Balch Springs,"Suburb of Dallas, TX",B-,"25,312","$94,800",$991,"$48,295",C+,C,B-,B-,C+,A,B,B+,A-,B,C,C
Sachse,"Suburb of Dallas, TX",A,"25,133","$210,100","$1,342","$101,253",B+,B,B+,B,A,A,A-,B+,B+,B-,B,C+
University Park,"Suburb of Dallas, TX",A+,"24,954","$1,230,200","$1,990","$214,477",A+,B,B-,A+,A+,C+,A,B+,C+,A+,B,A-
Watauga,"Suburb of Fort Worth, TX",A-,"24,526","$125,000","$1,379","$70,800",A-,B-,B+,B,A-,A,B+,B+,B+,B+,C+,B-
Midlothian,"Suburb of Dallas, TX",A-,"23,908","$192,600","$1,149","$83,378",A-,B-,A-,C+,A-,A-,A,B+,B+,B-,B-,C
Benbrook,"Suburb of Fort Worth, TX",A-,"22,961","$168,700",$978,"$71,281",C+,B-,B+,B+,B+,B+,A-,B+,A-,A-,B-,B
Saginaw,"Suburb of Fort Worth, TX",B+,"22,873","$148,400","$1,283","$79,625",B+,C+,B,C+,B+,A-,B+,B+,B+,B,C+,C+
Corinth,"Suburb of Dallas, TX",A,"21,158","$238,800","$1,292","$96,670",A-,B-,A-,B-,A,A-,A,B+,B,A-,C+,B-
